                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "15.2.0"                   "aarch64-macos-26.3.2"                                 "CRMATH"                               "20260508"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      569                  1.0000000000000001E-005                 -4.9999999999999991E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999980789182730E-001                  2.1285484105411780E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999980789182730E-001                  2.1285484105411780E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1355706322962176E+001                  4.4085287466555219E-012                 -1.1355706322962176E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1355706322962176E+001                  4.4085287466555219E-012                 -1.1355706322962176E+001                 -3.4429122067379630E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6671554680768552E+000                  2.5703721378653119E+000                  1.4735282936434424E+000                  2.1899810443522667E+000                  0.0000000000000000E+000                  1.1499677542815048E+001                 -2.7465994149647410E+000                  6.1107527785589113E+000                  6.2143811713827590E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.5000000000000022E+000                  1.3998510118237459E+000                                        0                                        2 
                                       5                                      575                  7.4416000000000014E-005                 -4.6832750158095005E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1354502262969630E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1354502262969630E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1355706311073638E+001                  4.4085288673362215E-012                 -1.1355706311073638E+001                 -9.8999999999999986E+001                 -2.7092699609758306E+001                 -1.1355706311073638E+001                  4.4085288673362215E-012                 -1.1355706311073638E+001                 -3.4429122027020789E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6672342816194208E+000                  2.5706875031565355E+000                  1.4735283492039239E+000                  2.1899809332313040E+000                  0.0000000000000000E+000                  1.1499677546461703E+001                 -2.7465994121982167E+000                  6.1107527794410688E+000                  6.2143811713721542E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.5000000000000022E+000                  1.3998510118237459E+000                                        0                                        2 
                                      10                                      575                  2.5958682111999997E-004                 -4.2873687855713758E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1347727325231609E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1347727325231609E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1355706276985142E+001                  4.4085292133689899E-012                 -1.1355706276985142E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1355706276985142E+001                  4.4085292133689899E-012                 -1.1355706276985142E+001                 -3.4429121911307561E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6672279405554975E+000                  2.5706619750054784E+000                  1.4735282672562413E+000                  2.1899810971266689E+000                  0.0000000000000000E+000                  1.1499677556925674E+001                 -2.7465994042570370E+000                  6.1107527819699250E+000                  6.2143811713417707E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.5000000000000022E+000                  1.3998510118237459E+000                                        0                                        2 
                                      15                                      575                  7.2035107872931814E-004                 -3.8914625553332525E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1334643352737791E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1334643352737791E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1355706192144359E+001                  4.4085300745890242E-012                 -1.1355706192144359E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1355706192144359E+001                  4.4085300745890242E-012                 -1.1355706192144359E+001                 -3.4429121623311239E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6672224911480260E+000                  2.5706399729286824E+000                  1.4735281650327869E+000                  2.1899813015735776E+000                  0.0000000000000000E+000                  1.1499677582967434E+001                 -2.7465993844943704E+000                  6.1107527882640547E+000                  6.2143811712661412E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.5000000000000022E+000                  1.3998510118237459E+000                                        0                                        2 
                                      20                                      575                  1.8668799962237366E-003                 -3.4955563250951283E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1315770724879078E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1315770724879078E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1355705981010821E+001                  4.4085322178093820E-012                 -1.1355705981010821E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1355705981010821E+001                  4.4085322178093820E-012                 -1.1355705981010821E+001                 -3.4429120906604268E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6672182521072010E+000                  2.5706227789559741E+000                  1.4735280461280813E+000                  2.1899815393829889E+000                  0.0000000000000000E+000                  1.1499677647772788E+001                 -2.7465993353154410E+000                  6.1107528039278209E+000                  6.2143811710779240E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.5000000000000022E+000                  1.3998510118237459E+000                                        0                                        2 
                                      25                                      575                  4.7198108322034473E-003                 -3.0996500948570040E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1298609785528149E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1298609785528149E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1355705455596341E+001                  4.4085375513057942E-012                 -1.1355705455596341E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1355705455596341E+001                  4.4085375513057942E-012                 -1.1355705455596341E+001                 -3.4429119123051073E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6672160925746020E+000                  2.5706138797377904E+000                  1.4735279155841885E+000                  2.1899818004707750E+000                  0.0000000000000000E+000                  1.1499677809039598E+001                 -2.7465992129361987E+000                  6.1107528429081812E+000                  6.2143811706095198E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.5000000000000022E+000                  1.3998510118237459E+000                                        0                                        2 
                                      30                                      575                  1.1818815689988481E-002                 -2.7037438646188803E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1289776204538476E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1289776204538476E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1355704148049261E+001                  4.4085508242791471E-012                 -1.1355704148049261E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1355704148049261E+001                  4.4085508242791471E-012                 -1.1355704148049261E+001                 -3.4429114684500583E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6672152638402324E+000                  2.5706102317982373E+000                  1.4735277490831504E+000                  2.1899821334728511E+000                  0.0000000000000000E+000                  1.1499678210355071E+001                 -2.7465989083978850E+000                  6.1107529399158542E+000                  6.2143811694438034E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.5000000000000022E+000                  1.3998510118237459E+000                                        0                                        2 
                                      35                                      575                  2.9483411457712130E-002                 -2.3078376343807561E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1287089054950244E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1287089054950244E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1355700894216232E+001                  4.4085838542682851E-012                 -1.1355700894216232E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1355700894216232E+001                  4.4085838542682851E-012                 -1.1355700894216232E+001                 -3.4429103639172901E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6672150514474167E+000                  2.5706088000246563E+000                  1.4735274579819915E+000                  2.1899827156751690E+000                  0.0000000000000000E+000                  1.1499679209007196E+001                 -2.7465981505781003E+000                  6.1107531813211473E+000                  6.2143811665428417E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.5000000000000022E+000                  1.3998510118237459E+000                                        0                                        2 
                                      40                                      575                  7.3438578398454232E-002                 -1.9119314041426323E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1286659825972016E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999980789182774E-001                  2.1286659825972016E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1355692797223238E+001                  4.4086660487396229E-012                 -1.1355692797223238E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1355692797223238E+001                  4.4086660487396229E-012                 -1.1355692797223238E+001                 -3.4429076153502628E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6672150724027732E+000                  2.5706075832932038E+000                  1.4735268077055528E+000                  2.1899840162280464E+000                  0.0000000000000000E+000                  1.1499681694057303E+001                 -2.7465962648291211E+000                  6.1107537820469098E+000                  6.2143811593238618E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.5000000000000022E+000                  1.3998510118237459E+000                                        0                                        2 
